Time,PosX,PosY,PosZ,Pitch,Yaw,Roll,PitchCam,YawCam,RollCam
1782999518.942309,0.0,0.0,10.0,-0.6989352703094482,52.489097595214844,0.053262241184711456,-0.08609142899513245,-156.676025390625,0.05518417805433273
1782999518.94911,0.0,0.0,10.0,-0.697152316570282,52.48896408081055,0.056092631071805954,-0.08609142899513245,-156.676025390625,0.05518417805433273
1782999518.966083,0.0,0.0,10.0,-0.697152316570282,52.48896408081055,0.056092631071805954,-0.08609142899513245,-156.676025390625,0.05518417805433273
1782999518.972818,0.0,0.0,10.0,-0.697152316570282,52.48896408081055,0.056092631071805954,-0.08609142899513245,-156.676025390625,0.05518417805433273
1782999518.980439,0.0,0.0,10.0,-0.697152316570282,52.48896408081055,0.056092631071805954,-0.08609142899513245,-156.676025390625,0.05518417805433273
1782999518.99143,0.0,0.0,10.0,-0.697152316570282,52.48896408081055,0.056092631071805954,-0.08609142899513245,-156.676025390625,0.05518417805433273
1782999518.997079,0.0,0.0,10.0,-0.6982412338256836,52.48935317993164,0.05657006427645683,-0.08609142899513245,-156.676025390625,0.05518417805433273
1782999519.004001,0.0,0.0,10.0,-0.6982412338256836,52.48935317993164,0.05657006427645683,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.009555,0.0,0.0,10.0,-0.6982412338256836,52.48935317993164,0.05657006427645683,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.015638,0.0,0.0,10.0,-0.6982412338256836,52.48935317993164,0.05657006427645683,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.022135,0.0,0.0,10.0,-0.6982412338256836,52.48935317993164,0.05657006427645683,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.039103,0.0,0.0,10.0,-0.6982412338256836,52.48935317993164,0.05657006427645683,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.045888,0.0,0.0,10.0,-0.6982412338256836,52.48935317993164,0.05657006427645683,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.052972,0.0,0.0,10.0,-0.6993297338485718,52.489830017089844,0.05523667111992836,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.058354,0.0,0.0,10.0,-0.6993297338485718,52.489830017089844,0.05523667111992836,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.064017,0.0,0.0,10.0,-0.6993297338485718,52.489830017089844,0.05523667111992836,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.070173,0.0,0.0,10.0,-0.6993297338485718,52.489830017089844,0.05523667111992836,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.075932,0.0,0.0,10.0,-0.6993297338485718,52.489830017089844,0.05523667111992836,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.088236,0.0,0.0,10.0,-0.6993297338485718,52.489830017089844,0.05523667111992836,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.095068,0.0,0.0,10.0,-0.6993297338485718,52.489830017089844,0.05523667111992836,-0.08520445227622986,-156.654052734375,0.0616145133972168
1782999519.102024,0.0,0.0,10.0,-0.6980479955673218,52.489036560058594,0.0539100281894207,-0.08728931844234467,-156.654052734375,0.056476593017578125
1782999519.108152,0.0,0.0,10.0,-0.6980479955673218,52.489036560058594,0.0539100281894207,-0.08728931844234467,-156.654052734375,0.056476593017578125
