Time,PosX,PosY,PosZ,Pitch,Yaw,Roll,PitchCam,YawCam,RollCam
1782999914.015547,0.0,0.0,10.0,-0.7014550566673279,52.81281280517578,0.05810559540987015,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.036451,0.0,0.0,10.0,-0.7014550566673279,52.81281280517578,0.05810559540987015,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.042044,0.0,0.0,10.0,-0.7014550566673279,52.81281280517578,0.05810559540987015,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.047442,0.0,0.0,10.0,-0.7014550566673279,52.81281280517578,0.05810559540987015,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.055154,0.0,0.0,10.0,-0.7014550566673279,52.81281280517578,0.05810559540987015,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.061159,0.0,0.0,10.0,-0.7006432414054871,52.81193542480469,0.05800394341349602,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.075627,0.0,0.0,10.0,-0.7006432414054871,52.81193542480469,0.05800394341349602,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.082786,0.0,0.0,10.0,-0.7006432414054871,52.81193542480469,0.05800394341349602,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.088782,0.0,0.0,10.0,-0.7006432414054871,52.81193542480469,0.05800394341349602,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.102512,0.0,0.0,10.0,-0.7006432414054871,52.81193542480469,0.05800394341349602,9.842787742614746,-177.088623046875,0.06287889182567596
1782999914.108427,0.0,0.0,10.0,-0.7028213143348694,52.8117561340332,0.05711265280842781,9.843835830688477,-177.110595703125,0.06663111597299576
1782999914.114517,0.0,0.0,10.0,-0.7028213143348694,52.8117561340332,0.05711265280842781,9.843835830688477,-177.110595703125,0.06663111597299576
1782999914.120244,0.0,0.0,10.0,-0.7028213143348694,52.8117561340332,0.05711265280842781,9.843835830688477,-177.110595703125,0.06663111597299576
